"hour","week","temp","htemp","atemp","hum","wind","Y"
1,0,0.516014234875445,0.476047904191617,0.635327635327635,0.325301204819277,0.104477611940299,207
2,0,0.501779359430605,0.476047904191617,0.623931623931624,0.337349397590361,0.134328358208955,230
3,0,0.491103202846975,0.485029940119761,0.615384615384615,0.36144578313253,0.149253731343284,178
4,0,0.483985765124555,0.547904191616767,0.60968660968661,0.469879518072289,0.164179104477612,119
5,0,0.476868327402135,0.547904191616767,0.603988603988604,0.481927710843373,0.119402985074627,62
6,0,0.473309608540925,0.523952095808383,0.601139601139601,0.44578313253012,0.164179104477612,61
7,0,0.466192170818505,0.553892215568862,0.595441595441595,0.506024096385542,0.164179104477612,65
8,0,0.455516014234875,0.538922155688623,0.586894586894587,0.493975903614458,0.149253731343284,81
9,0,0.480427046263345,0.431137724550898,0.606837606837607,0.301204819277108,0.104477611940299,89
10,0,0.576512455516014,0.434131736526946,0.683760683760684,0.216867469879518,0.119402985074627,121
11,0,0.637010676156584,0.416167664670659,0.655270655270655,0.156626506024096,0.328358208955224,139
12,0,0.686832740213523,0.347305389221557,0.686609686609687,0.072289156626506,0.417910447761194,169
13,0,0.718861209964413,0.401197604790419,0.729344729344729,0.0963855421686747,0.343283582089552,225
14,0,0.765124555160142,0.467065868263473,0.777777777777778,0.120481927710843,0.313432835820896,248
15,0,0.740213523131673,0.491017964071856,0.735042735042735,0.156626506024096,0.432835820895522,298
16,0,0.740213523131673,0.505988023952096,0.743589743589744,0.168674698795181,0.373134328358209,344
17,0,0.697508896797153,0.532934131736527,0.683760683760684,0.228915662650602,0.492537313432836,310
18,0,0.661921708185053,0.517964071856287,0.689458689458689,0.240963855421687,0.283582089552239,271
19,0,0.629893238434164,0.544910179640719,0.726495726495726,0.301204819277108,0.194029850746269,218
20,0,0.622775800711744,0.550898203592814,0.720797720797721,0.313253012048193,0.17910447761194,125
21,0,0.601423487544484,0.568862275449102,0.703703703703704,0.36144578313253,0.17910447761194,206
22,0,0.587188612099644,0.589820359281437,0.692307692307692,0.409638554216867,0.119402985074627,203
23,0,0.576512455516014,0.604790419161677,0.683760683760684,0.44578313253012,0.104477611940299,168
24,0,0.569395017793594,0.622754491017964,0.678062678062678,0.481927710843373,0.164179104477612,154
1,1,0.558718861209964,0.625748502994012,0.66951566951567,0.506024096385542,0.119402985074627,148
2,1,0.551601423487544,0.658682634730539,0.663817663817664,0.578313253012048,0.134328358208955,108
3,1,0.544483985765125,0.655688622754491,0.658119658119658,0.578313253012048,0.0597014925373134,69
4,1,0.537366548042705,0.679640718562874,0.652421652421653,0.63855421686747,0.0746268656716418,41
5,1,0.523131672597865,0.667664670658683,0.641025641025641,0.63855421686747,0.0895522388059701,31
6,1,0.519572953736655,0.664670658682635,0.638176638176638,0.63855421686747,0.0597014925373134,58
7,1,0.519572953736655,0.676646706586826,0.638176638176638,0.662650602409639,0.0746268656716418,139
8,1,0.512455516014235,0.679640718562874,0.632478632478633,0.686746987951807,0.119402985074627,344
9,1,0.523131672597865,0.661676646706587,0.641025641025641,0.626506024096386,0.0298507462686567,655
10,1,0.583629893238434,0.601796407185629,0.615384615384615,0.433734939759036,0.283582089552239,315
11,1,0.619217081850534,0.547904191616767,0.635327635327635,0.313253012048193,0.343283582089552,208
12,1,0.665480427046263,0.464071856287425,0.692307692307692,0.180722891566265,0.283582089552239,269
13,1,0.686832740213523,0.395209580838323,0.666666666666667,0.108433734939759,0.537313432835821,293
14,1,0.693950177935943,0.350299401197605,0.658119658119658,0.072289156626506,0.656716417910448,273
15,1,0.686832740213523,0.380239520958084,0.680911680911681,0.0963855421686747,0.447761194029851,302
16,1,0.679715302491103,0.389221556886228,0.675213675213675,0.108433734939759,0.432835820895522,295
17,1,0.644128113879004,0.422155688622755,0.64957264957265,0.156626506024096,0.388059701492537,320
18,1,0.604982206405694,0.350299401197605,0.621082621082621,0.120481927710843,0.343283582089552,373
19,1,0.587188612099644,0.392215568862275,0.601139601139601,0.168674698795181,0.358208955223881,675
20,1,0.565836298932384,0.350299401197605,0.58974358974359,0.144578313253012,0.328358208955224,403
21,1,0.540925266903915,0.359281437125749,0.572649572649573,0.168674698795181,0.298507462686567,364
22,1,0.512455516014235,0.395209580838323,0.52991452991453,0.228915662650602,0.358208955223881,304
23,1,0.498220640569395,0.407185628742515,0.521367521367521,0.253012048192771,0.343283582089552,273
24,1,0.480427046263345,0.422155688622755,0.544159544159544,0.289156626506024,0.208955223880597,186
1,2,0.455516014234875,0.440119760479042,0.586894586894587,0.337349397590361,0.17910447761194,160
2,2,0.437722419928826,0.434131736526946,0.475783475783476,0.349397590361446,0.298507462686567,130
3,2,0.416370106761566,0.434131736526946,0.555555555555556,0.373493975903614,0.194029850746269,110
4,2,0.416370106761566,0.434131736526946,0.444444444444444,0.373493975903614,0.343283582089552,67
5,2,0.405693950177936,0.44311377245509,0.43019943019943,0.397590361445783,0.358208955223881,43
6,2,0.395017793594306,0.440119760479042,0.421652421652422,0.409638554216867,0.358208955223881,67
7,2,0.387900355871886,0.437125748502994,0.413105413105413,0.409638554216867,0.358208955223881,137
8,2,0.384341637010676,0.440119760479042,0.45014245014245,0.421686746987952,0.223880597014925,308
9,2,0.391459074733096,0.407185628742515,0.447293447293447,0.36144578313253,0.253731343283582,670
10,2,0.434163701067616,0.389221556886228,0.441595441595442,0.289156626506024,0.432835820895522,342
11,2,0.473309608540925,0.398203592814371,0.47008547008547,0.265060240963855,0.477611940298507,213
12,2,0.512455516014235,0.38622754491018,0.50997150997151,0.216867469879518,0.462686567164179,267
